outcome,outcome_label,model,model_description,sample,formula,n,term,coefficient_log_scale,standard_error_hc3,ci_low_log_scale,ci_high_log_scale,p_value,r_squared,adjusted_r_squared,aic_nonrobust_likelihood,bic_nonrobust_likelihood,percent_difference,percent_ci_low,percent_ci_high
daly_rate,DALY Rate,M4_environment,Environmental-context sensitivity model adding PM2.5,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + z_pm25_mean_annual_ug_m3 + C(wb_region),160,z_urban_population_pct,-0.031039405689033545,0.02531297252142544,-0.08065192017267944,0.01857310879461236,0.22011392732343227,0.6961787665746224,0.6735974586848984,-101.45766710578789,-64.55558132298196,,,
daly_rate,DALY Rate,M4_environment,Environmental-context sensitivity model adding PM2.5,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + z_pm25_mean_annual_ug_m3 + C(wb_region),160,z_pm25_mean_annual_ug_m3,0.03075108741320251,0.02498329848857104,-0.018215277839410696,0.07971745266581572,0.21837306462157602,0.6961787665746224,0.6735974586848984,-101.45766710578789,-64.55558132298196,,,
daly_rate,DALY Rate,M5_industrial,Industrial-context sensitivity model adding manufacturing share,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + z_manufacturing_value_added_pct_gdp + C(wb_region),155,Intercept,10.372509392183229,0.04705592013157077,10.280281483465957,10.4647373009005,0.0,0.7037712108895535,0.6809843809579808,-101.75770652664374,-65.23660512361278,,,
daly_rate,DALY Rate,M5_industrial,Industrial-context sensitivity model adding manufacturing share,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + z_manufacturing_value_added_pct_gdp + C(wb_region),155,C(wb_region)[T.Europe & Central Asia],0.06099703367414455,0.062108923467834525,-0.06073421944136567,0.18272828678965478,0.3260516963701855,0.7037712108895535,0.6809843809579808,-101.75770652664374,-65.23660512361278,,,
daly_rate,DALY Rate,M5_industrial,Industrial-context sensitivity model adding manufacturing share,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + z_manufacturing_value_added_pct_gdp + C(wb_region),155,C(wb_region)[T.Latin America & Caribbean],0.07521599400645773,0.0562026628974708,-0.034939201107830595,0.18537118912074607,0.18079883431874721,0.7037712108895535,0.6809843809579808,-101.75770652664374,-65.23660512361278,,,
daly_rate,DALY Rate,M5_industrial,Industrial-context sensitivity model adding manufacturing share,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + z_manufacturing_value_added_pct_gdp + C(wb_region),155,"C(wb_region)[T.Middle East, North Africa, Afghanistan & Pakistan]",-0.025583835388885035,0.059636388210220735,-0.14246900844896676,0.0913013376711967,0.6679253620774712,0.7037712108895535,0.6809843809579808,-101.75770652664374,-65.23660512361278,,,
daly_rate,DALY Rate,M5_industrial,Industrial-context sensitivity model adding manufacturing share,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + z_manufacturing_value_added_pct_gdp + C(wb_region),155,C(wb_region)[T.North America],0.2046144696727743,0.16737052154673518,-0.12342572463251172,0.5326546639780603,0.2215095558373833,0.7037712108895535,0.6809843809579808,-101.75770652664374,-65.23660512361278,,,
daly_rate,DALY Rate,M5_industrial,Industrial-context sensitivity model adding manufacturing share,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + z_manufacturing_value_added_pct_gdp + C(wb_region),155,C(wb_region)[T.South Asia],-0.08424424833111566,0.08689991669360993,-0.25456495531012213,0.08607645864789082,0.3323257425575742,0.7037712108895535,0.6809843809579808,-101.75770652664374,-65.23660512361278,,,
daly_rate,DALY Rate,M5_industrial,Industrial-context sensitivity model adding manufacturing share,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + z_manufacturing_value_added_pct_gdp + C(wb_region),155,C(wb_region)[T.Sub-Saharan Africa],0.346417547174661,0.06734116099543141,0.21443129694650198,0.47840379740282,2.6863883316925127e-07,0.7037712108895535,0.6809843809579808,-101.75770652664374,-65.23660512361278,,,
daly_rate,DALY Rate,M5_industrial,Industrial-context sensitivity model adding manufacturing share,model_specific_complete_case,log_daly_rate ~ reg_binary + z_log_gdp_per_capita_ppp + z_population_age_65plus_pct + z_urban_population_pct + z_manufacturing_value_added_pct_gdp + C(wb_region),155,reg_binary,-0.03857614938293227,0.03800189037872158,-0.11305848586966576,0.03590618710380121,0.31005276267779847,0.7037712108895535,0.6809843809579808,-101.75770652664374,-65.23660512361278,-3.7841565820946887,-10.690157504955945,3.655859936519157
