country,iso_code,outcome,model,cooks_distance,studentized_residual,hat_value,cooks_threshold_4_over_n,flag_influential,flag_large_studentized_residual
Brazil,BRA,daly_rate,M2_primary,0.0007920031356829272,0.36529948260214057,0.060950438835008364,0.025,False,False
Andorra,AND,daly_rate,M2_primary,0.0007549040024061792,-0.32849938191645456,0.07105540242989956,0.025,False,False
Paraguay,PRY,daly_rate,M2_primary,0.0007299796658461644,0.3755940224450207,0.053560914390456474,0.025,False,False
Switzerland,CHE,daly_rate,M2_primary,0.000664814836977117,-0.49625236505445314,0.028697252727685536,0.025,False,False
Turkey,TUR,daly_rate,M2_primary,0.000614848200502396,0.25770212242764434,0.09190250663968193,0.025,False,False
Australia,AUS,daly_rate,M2_primary,0.0006126386677109346,-0.274328271606502,0.08171981797334231,0.025,False,False
Panama,PAN,daly_rate,M2_primary,0.0005996484400828443,-0.3481311352606162,0.0513275897116576,0.025,False,False
Timor-Leste,TLS,daly_rate,M2_primary,0.000587621354041201,-0.29914193982077825,0.06698279320024815,0.025,False,False
Slovenia,SVN,daly_rate,M2_primary,0.0005112209056144434,-0.3884833622206172,0.03572525344093007,0.025,False,False
Jamaica,JAM,daly_rate,M2_primary,0.0004668895657208796,-0.3075345303484456,0.05120857839091322,0.025,False,False
Croatia,HRV,daly_rate,M2_primary,0.00042309754679059776,0.3363201300262655,0.03929391015831788,0.025,False,False
Philippines,PHL,daly_rate,M2_primary,0.000421227723927764,-0.22933511942116197,0.08049217872225238,0.025,False,False
Bahrain,BHR,daly_rate,M2_primary,0.00042037143527902463,0.1938836913663702,0.10890617342414842,0.025,False,False
Liberia,LBR,daly_rate,M2_primary,0.0003984457523609575,0.28496301773136146,0.05091031738073169,0.025,False,False
Guinea-Bissau,GNB,daly_rate,M2_primary,0.0003807368139362745,0.3732782819374697,0.02901669867208182,0.025,False,False
Germany,DEU,daly_rate,M2_primary,0.0003342330888079546,0.3425914254913167,0.030198928203403013,0.025,False,False
Estonia,EST,daly_rate,M2_primary,0.00032490519002860836,0.3718385076398776,0.025055410524397446,0.025,False,False
