population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,374,Niue,3,Both,22,All ages,294,All causes,3,Rate,2023,1123.5569824054146,1172.2196159485095,1077.495822125428
1,All Population,1,Deaths,108,Belize,3,Both,22,All ages,294,All causes,1,Number,2023,2022.4095379234502,2097.0914937254247,1935.1737675501547
1,All Population,1,Deaths,108,Belize,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,108,Belize,3,Both,22,All ages,294,All causes,3,Rate,2023,488.93931348430124,506.9944815967768,467.8491253311201
1,All Population,1,Deaths,59,Latvia,3,Both,22,All ages,294,All causes,1,Number,2023,27878.122393690654,28444.29885683875,27279.600522159828
1,All Population,1,Deaths,59,Latvia,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,59,Latvia,3,Both,22,All ages,294,All causes,3,Rate,2023,1471.8354072259956,1501.7268953768605,1440.2362317120235
1,All Population,1,Deaths,176,Comoros,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,176,Comoros,3,Both,22,All ages,294,All causes,3,Rate,2023,491.87488465961314,513.148039568674,471.512881303735
1,All Population,1,Deaths,114,Haiti,3,Both,22,All ages,294,All causes,1,Number,2023,126186.52203998636,132224.4304114201,120460.99617710165
1,All Population,1,Deaths,114,Haiti,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,114,Haiti,3,Both,22,All ages,294,All causes,3,Rate,2023,935.2863781836797,980.0389663462545,892.8491490650458
1,All Population,1,Deaths,213,Niger,3,Both,22,All ages,294,All causes,1,Number,2023,272519.48984552413,281106.91483661055,263331.23222193617
1,All Population,1,Deaths,213,Niger,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,213,Niger,3,Both,22,All ages,294,All causes,3,Rate,2023,1022.9725419296459,1055.20766748614,988.4820353518086
1,All Population,1,Deaths,115,Jamaica,3,Both,22,All ages,294,All causes,1,Number,2023,20243.335152639254,21653.616670873074,18986.098565978224
1,All Population,1,Deaths,115,Jamaica,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,115,Jamaica,3,Both,22,All ages,294,All causes,3,Rate,2023,711.2028622325878,760.7498486732509,667.0327562596956
1,All Population,1,Deaths,214,Nigeria,3,Both,22,All ages,294,All causes,1,Number,2023,1782525.4024964406,1839136.768796373,1725751.8090505416
1,All Population,1,Deaths,214,Nigeria,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,214,Nigeria,3,Both,22,All ages,294,All causes,3,Rate,2023,728.0564705666791,751.1788740312029,704.8678068832777
1,All Population,1,Deaths,17,Sri Lanka,3,Both,22,All ages,294,All causes,1,Number,2023,181510.1866845473,184917.53619025607,178188.69925744622
1,All Population,1,Deaths,17,Sri Lanka,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,17,Sri Lanka,3,Both,22,All ages,294,All causes,3,Rate,2023,801.1897213889325,816.2298326411899,786.5286071290438
