country,iso_code,Year,regulation,region,regulation_label,ihme_country,death_rate,daly_rate,country_for_merge,reg_binary,log_death_rate,log_daly_rate,wb_country_name,wb_region,income_group,lending_type,gdp_per_capita_ppp_2021,gdp_per_capita_ppp_2021_year,gdp_per_capita_ppp_2021_lag,urban_population_pct,urban_population_pct_year,urban_population_pct_lag,population_age_65plus_pct,population_age_65plus_pct_year,population_age_65plus_pct_lag,health_expenditure_per_capita_usd,health_expenditure_per_capita_usd_year,health_expenditure_per_capita_usd_lag,uhc_service_coverage_index,uhc_service_coverage_index_year,uhc_service_coverage_index_lag,manufacturing_value_added_pct_gdp,manufacturing_value_added_pct_gdp_year,manufacturing_value_added_pct_gdp_lag,pm25_mean_annual_ug_m3,pm25_mean_annual_ug_m3_year,pm25_mean_annual_ug_m3_lag,log_gdp_per_capita_ppp,log_health_expenditure_per_capita
Cyprus,CYP,2023,Yes,Asia,Regulated,Cyprus,738.9440267094197,25977.14823405069,Cyprus,1,6.605222176143804,10.164972516457205,Cyprus,Europe & Central Asia,High income,Not classified,50840.9140625,2022.0,0.0,66.6694829407584,2022,0,14.0779422699926,2022,0,2748.6159668,2022.0,0.0,,,,4.29843767661889,2022.0,0.0,21.3967671637857,2022.0,0.0,10.836476373345677,7.919216532472503
Czechia,CZE,2023,Yes,Europe,Regulated,Czechia,1036.6564926725582,33949.4634165483,Czechia,1,6.943755902314784,10.432628327752909,Czechia,Europe & Central Asia,High income,Not classified,48390.661678675,2022.0,0.0,72.6967638379524,2022,0,20.5183106530339,2022,0,2431.08496094,2022.0,0.0,,,,19.3950613571424,2022.0,0.0,12.8501106624388,2022.0,0.0,10.787082798496709,7.796504177072898
Democratic Republic of Congo,COD,2023,No,Africa,Not regulated,Democratic Republic of the Congo,827.8113375282734,56135.11949350348,Democratic Republic of Congo,0,6.718785275196047,10.935516911571534,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA,1484.33841881449,2022.0,0.0,44.003287663813,2022,0,3.06604683841811,2022,0,24.3800106,2022.0,0.0,,,,9.48948032952368,2022.0,0.0,36.8333103350476,2022.0,0.0,7.303397916731055,3.2339618799378487
Denmark,DNK,2023,Yes,Europe,Regulated,Denmark,991.3867195134156,30931.63475251574,Denmark,1,6.899104689807237,10.339534717580706,Denmark,Europe & Central Asia,High income,Not classified,69089.4692492289,2022.0,0.0,88.3880239837703,2022,0,20.4007400764725,2022,0,6451.19433594,2022.0,0.0,,,,12.8241154699449,2022.0,0.0,8.20415192314087,2022.0,0.0,11.143172073314298,8.772175559054977
Djibouti,DJI,2023,No,Africa,Not regulated,Djibouti,610.0128933562213,39888.1193434299,Djibouti,0,6.413480093593524,10.593833797722109,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IDA,6180.67998594606,2022.0,0.0,72.6109938538856,2022,0,4.62735776047053,2022,0,79.13184357,2022.0,0.0,,,,5.02666091887994,2022.0,0.0,39.044711370559,2022.0,0.0,8.729345355895383,4.3836733227635545
Dominica,DMA,2023,Yes,North America,Regulated,Dominica,942.4162086110942,34505.96640491582,Dominica,1,6.848447012039626,10.4488875273401,Dominica,Latin America & Caribbean ,Upper middle income,Blend,17550.8009946466,2022.0,0.0,72.682648635692,2022,0,12.585576081345,2022,0,542.53948975,2022.0,0.0,,,,3.95180321827055,2022.0,0.0,11.1561568187343,2022.0,0.0,9.772911844406444,6.298102362155453
Ecuador,ECU,2023,Yes,South America,Regulated,Ecuador,571.3638082488354,29479.33740610072,Ecuador,1,6.348026149059216,10.29144487000254,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD,14186.6388544625,2022.0,0.0,63.0901835932266,2022,0,7.85040162653543,2022,0,495.30380249,2022.0,0.0,,,,12.8847307909688,2022.0,0.0,19.8012550282051,2022.0,0.0,9.560126361274543,6.2071882442404505
Egypt,EGY,2023,Yes,Africa,Regulated,Egypt,620.5697715712599,30364.73728004956,Egypt,1,6.430638042434916,10.321037256229356,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,16360.390775011,2022.0,0.0,42.6325129008032,2022,0,4.82840349955892,2022,0,171.67852783,2022.0,0.0,,,,15.9705322282435,2022.0,0.0,42.2068092839445,2022.0,0.0,9.702679617241028,5.151431645228188
El Salvador,SLV,2023,No,North America,Not regulated,El Salvador,761.133250780995,33613.41844055413,El Salvador,0,6.634808442114352,10.4226806245788,El Salvador,Latin America & Caribbean ,Upper middle income,IBRD,11085.6166169553,2022.0,0.0,74.1465021298679,2022,0,7.86163091397109,2022,0,500.20321655,2022.0,0.0,,,,13.7685122517619,2022.0,0.0,29.793836814941,2022.0,0.0,9.313493949662904,6.217011640698845
Estonia,EST,2023,Yes,Europe,Regulated,Estonia,1204.331091869229,36800.81734149,Estonia,1,7.093679581311922,10.513275334276951,Estonia,Europe & Central Asia,High income,Not classified,43124.6196563775,2022.0,0.0,70.4892333736738,2022,0,20.6300461857585,2022,0,1998.74523926,2022.0,0.0,,,,11.9959443459942,2022.0,0.0,6.63187069919039,2022.0,0.0,10.671872523073967,7.600775071058514
