country,iso_code,Year,regulation,region,regulation_label,ihme_country,death_rate,daly_rate,country_for_merge,reg_binary,log_death_rate,log_daly_rate
Syria,SYR,2023,No,Asia,Not regulated,Syrian Arab Republic,527.8945120600107,28605.732929429832,Syria,0,6.268896475980896,10.261362428798076
Tajikistan,TJK,2023,No,Asia,Not regulated,Tajikistan,470.3462044621241,26277.85061031923,Tajikistan,0,6.153469028782178,10.176481681214119
Tanzania,TZA,2023,Yes,Africa,Regulated,United Republic of Tanzania,554.1454733479388,36953.4126856482,Tanzania,1,6.3174272395479285,10.517413281668928
Thailand,THA,2023,Yes,Asia,Regulated,Thailand,900.0932585887313,35217.93705274542,Thailand,1,6.802498378610207,10.46931080715884
Timor-Leste,TLS,2023,No,Asia,Not regulated,Timor-Leste,633.4799750228385,34320.83403494153,Timor-Leste,0,6.451228389195032,10.443507855024027
Togo,TGO,2023,No,Africa,Not regulated,Togo,733.9031497991233,48053.12105771243,Togo,0,6.598377071405989,10.780062366663863
Trinidad and Tobago,TTO,2023,Yes,North America,Regulated,Trinidad and Tobago,998.8685398961018,39639.21108568887,Trinidad and Tobago,1,6.906623178294013,10.587574086270319
Tunisia,TUN,2023,No,Africa,Not regulated,Tunisia,648.3373192314019,30385.179235603395,Tunisia,0,6.474411115280297,10.321710243370665
Turkey,TUR,2023,No,Asia,Not regulated,Türkiye,692.3790485622819,29726.76354059459,Turkey,0,6.540133563690976,10.299803048330473
Tuvalu,TUV,2023,No,Oceania,Not regulated,Tuvalu,1140.110484952139,47840.81936699732,Tuvalu,0,7.038880453317112,10.77563451571441
Uganda,UGA,2023,No,Africa,Not regulated,Uganda,634.787970628686,45123.78520373633,Uganda,0,6.45329103861241,10.71716477457999
Ukraine,UKR,2023,Yes,Europe,Regulated,Ukraine,1357.1129030939846,47790.921877297806,Ukraine,1,7.213114856885309,10.774590981557688
United Arab Emirates,ARE,2023,Yes,Asia,Regulated,United Arab Emirates,140.31840957073308,16890.602198366312,United Arab Emirates,1,4.943914194257566,9.734512663302802
United Kingdom,GBR,2023,Yes,Europe,Regulated,United Kingdom,965.303060625913,32245.89182363657,United Kingdom,1,6.87244210449692,10.381145928796126
United States,USA,2023,Yes,North America,Regulated,United States of America,921.7426957781304,36739.51239885122,United States,1,6.826266112784652,10.511608087011238
Uruguay,URY,2023,Yes,South America,Regulated,Uruguay,1022.7097309437244,34235.44395411377,Uruguay,1,6.930210982720963,10.441016759314335
Vanuatu,VUT,2023,No,Oceania,Not regulated,Vanuatu,578.7263479133724,29937.59742087785,Vanuatu,0,6.360829737029054,10.306870408290035
Vietnam,VNM,2023,Yes,Asia,Regulated,Viet Nam,655.816252880454,28482.600686638943,Vietnam,1,6.485880647391728,10.257048677601183
Yemen,YEM,2023,No,Asia,Not regulated,Yemen,417.1457643140958,31635.94458414445,Yemen,0,6.033435715428849,10.362049239967034
Zambia,ZMB,2023,No,Africa,Not regulated,Zambia,702.5829332931105,48087.57268441758,Zambia,0,6.554763448749782,10.780779058562763
Zimbabwe,ZWE,2023,No,Africa,Not regulated,Zimbabwe,724.1324206009655,45601.08710175983,Zimbabwe,0,6.584974277043846,10.727686835169184
